movie_id,image_url,movie_title,year_released
10,sm/upload/rr/xp/fu/nn/3K0T8MiKkK7CqWL8VHRiBl7kVmH-0-230-0-345-crop,,
10-cloverfield-lane,film-poster/2/6/1/8/9/1/261891-10-cloverfield-lane-0-230-0-345-crop,,
10-rillington-place,film-poster/3/5/4/7/8/35478-10-rillington-place-0-230-0-345-crop,,
10-things-i-hate-about-you,sm/upload/hl/jj/br/9g/Kd5OkBc6GyUa1tIpxYUHLpyE2t-0-230-0-345-crop,,
10-to-midnight,film-poster/4/0/2/3/6/40236-10-to-midnight-0-230-0-345-crop,,
10-years,sm/upload/hq/oy/fy/6a/kZq3Cq3Gh0HgW1ki5oFJwxR7Wn7-0-230-0-345-crop,,
10000-bc,film-poster/4/7/9/7/4/47974-10-000-bc-0-230-0-345-crop,,
101-dalmatians,film-poster/4/5/0/7/9/45079-101-dalmatians-0-230-0-345-crop,,
101-dalmatians-ii-patchs-london-adventure,film-poster/4/3/7/0/8/43708-101-dalmatians-ii-patch-s-london-adventure-0-230-0-345-crop,,
102-dalmatians,film-poster/4/6/1/8/8/46188-102-dalmatians-0-230-0-345-crop,,
11-22-63,film-poster/2/7/8/2/7/5/278275-11-22-63-0-230-0-345-crop,,
12-angry-men,film-poster/5/1/7/0/0/51700-12-angry-men-0-230-0-345-crop,,
12-angry-men-1997,film-poster/4/4/6/9/0/44690-12-angry-men-0-230-0-345-crop,,
12-dates-of-christmas,film-poster/6/7/8/3/8/67838-12-dates-of-christmas-0-230-0-345-crop,,
12-hour-shift,film-poster/5/9/2/0/3/6/592036-12-hour-shift-0-230-0-345-crop,,
12-rounds,film-poster/4/1/1/8/8/41188-12-rounds-0-230-0-345-crop,,
12-strong,film-poster/3/6/2/6/3/3/362633-12-strong-0-230-0-345-crop,,
12-years-a-slave,film-poster/6/2/6/7/1/62671-12-years-a-slave-0-230-0-345-crop,,
127-hours,film-poster/2/1/0/5/0/21050-127-hours-0-230-0-345-crop,,
12th-fail,film-poster/1/0/4/9/2/0/6/1049206-12th-fail-0-230-0-345-crop,,
13-assassins,sm/upload/ba/x2/f6/w9/7Vr1c98X9JaKW6K95Xm6KBqiqDg-0-230-0-345-crop,,
13-cameras,film-poster/2/7/8/0/4/6/278046-13-cameras-0-230-0-345-crop,,
13-ghosts,film-poster/3/2/5/8/1/32581-13-ghosts-0-230-0-345-crop,,
