movie_id,count
teen-titans-go-to-the-movies,96
bring-it-on-all-or-nothing,48
night-stalker-the-hunt-for-a-serial-killer,48
the-new-mutants,200
too-old-to-die-young,26
7-days-in-hell,63
brawl-in-cell-block-99,96
adam-sandler-love-you,37
peninsula,60
where-the-sidewalk-ends,27
atlas-2024,85
final-destination-2,369
fahrenheit-451,27
bronson,113
the-danish-girl,109
equinox,23
a-most-violent-year,101
rings-2017,59
blackhat,126
solaris,131
fast-times-at-ridgemont-high,150
women-on-the-verge-of-a-nervous-breakdown,155
the-thing-from-another-world,52
seven-days-in-may,25
one-eyed-jacks,34
the-insider,167
21-over,38
dr-jekyll-and-mr-hyde-1920,23
nonnas,76
let-it-shine,34
sleeping-with-the-enemy,49
muppets-most-wanted,108
hamlet-1996,34
the-weather-man,42
let-the-sunshine-in,58
about-schmidt,56
tales-of-halloween,31
black-sunday-1960,90
smokin-aces,49
wish-i-was-here,22
the-crowded-room,25
the-count-of-monte-cristo-2024,112
alice-through-the-looking-glass-2016,116
piranha-ii-the-spawning,40
the-jazz-singer,23
on-the-road,24
the-end-2024,76
high-and-low,197
bad-words,50
september-5,208
hotel-for-dogs,57
the-little-prince-2015,72
the-ring-2002,252
take-this-waltz,51
winnie-the-pooh-blood-and-honey,160
goodbye-dragon-inn,97
april-2024-1,28
the-good-liar,38
ghidorah-the-three-headed-monster,51
no-home-movie,20
gi-jane,47
naomi-and-elys-no-kiss-list,28
the-truth-vs-alex-jones,22
fritz-the-cat,31
clifford,43
the-dead-thing,22
nobody-knows,74
downsizing,120
green-snake,42
shortbus,43
apple-cider-vinegar-2025,39
my-policeman,135
friday-night-lights,38
harold-kumar-go-to-white-castle,106
shark-bait-2022,21
mickey-17,755
woodstock,31
summer-stock,27
eyes-without-a-face,198
everything-everywhere-all-at-once,678
diary-of-a-wimpy-kid-the-long-haul,72
the-pirates-in-an-adventure-with-scientists,68
the-400-blows,182
dark-passage,30
girlhouse,26
a-dogs-will,27
police-story-2,49
mission-impossible-fallout,379
milk-1998,23
possessor,230
code-unknown,37
athlete-a,32
patriots-day,59
the-grapes-of-wrath,72
black-dog-2024,49
rugrats-go-wild,33
last-night-in-soho,483
the-big-lebowski,343
first-girl-i-loved,35
scooby-doo-meets-batman,20
coma,28
the-changeling,81
the-brutalist,588
penguins-of-madagascar-2014,118
city-slickers,42
looking-the-movie,23
titane,367
red-rooms,259
the-last-witch-hunter,37
black-panthers,66
where-the-wild-things-are,141
the-big-sleep,117
scary-movie-4,98
piranha-3dd,56
i-am-not-your-negro,82
goldman-v-silverman,55
the-stunt-man,23
masters-of-the-air,23
dracula-untold,63
cutting-class,29
a-cat-in-paris,22
the-adventures-of-sharkboy-and-lavagirl,126
the-tin-star,20
killer-bean-forever,29
world-of-tomorrow-episode-two-the-burden-of-other-peoples-thoughts,45
isnt-it-romantic-2019,126
re-member,20
hellraiser-iii-hell-on-earth,68
captain-america-brave-new-world,414
starsky-hutch,63
willys-wonderland,140
lost-in-space,25
she-dies-tomorrow,80
luck-2022,53
number-seventeen,21
superstar,35
the-long-good-friday,60
a-dogs-purpose,56
yes-madam,44
ps-i-love-you,47
clear-and-present-danger,45
troy,127
the-day-after-tomorrow,171
stereo-tile-3b-of-a-caee-educational-mosaic,20
race-to-witch-mountain,48
turtles-all-the-way-down,94
manila-in-the-claws-of-light,41
beetlejuice,516
the-monk-and-the-gun,22
man-bites-dog,60
the-time-machine,27
close-encounters-of-the-third-kind,201
shorts,23
reds-dream,33
meg-2-the-trench,217
saving-private-ryan,264
get-duked,36
winter-light,109
someone-great,91
a-mighty-wind,44
you-only-live-once,33
appendage,20
a-woman-of-paris-a-drama-of-fate,27
requiem-2021,21
the-seventh-curse,45
videodrome,323
doom,70
little-sister-2016,24
ali-g-indahouse,36
shadows-of-forgotten-ancestors,20
are-you-there-god-its-me-margaret,359
f1,353
ghost-town,38
the-last-repair-shop,45
the-kiss-1882,20
lego-star-wars-holiday-special,46
the-andromeda-strain,40
hairspray-live,23
welcome-to-the-dollhouse,152
bo-burnham-the-inside-outtakes,49
dave,34
nancy-drew,33
the-parent-trap,36
2-or-3-things-i-know-about-her,41
stray-dogs-2013,22
stress-positions,69
spellbound,102
fearless,22
she-said-2022,173
barbie-in-the-pink-shoes,23
enter-the-void,123
the-arrival-of-a-train-at-la-ciotat,61
love-death-robots-automated-customer-service,39
justice-league-crisis-on-infinite-earths-2024-1,20
no-time-to-die-2021,327
deconstructing-harry,31
popcorn,57
letter-to-a-pig,34
pi,103
hanna,122
days-of-thunder,121
blinded-by-the-light-2019,64
f1-the-movie,235
isle-of-dogs-2018,364
this-is-40,109
rachel-rachel,27
the-munsters,74
piece-by-piece-2024,141
20000-leagues-under-the-sea-1954,33
after-life,81
my-week-with-marilyn,68
juliet-of-the-spirits,34
bring-her-back,342
batman-gotham-by-gaslight,20
the-life-list,106
ip-man,64
pandorum,43
blood-gold,21
fire-in-the-sky,31
maestro-2023,424
four-good-days,29
demon-slayer-kimetsu-no-yaiba-the-movie-mugen,60
the-lower-depths-1957-4,21
lara-croft-tomb-raider,116
who-killed-santa-a-murderville-murder-mystery,35
escape-plan,57
philadelphia,132
the-novelists-film,41
hocus-pocus-2,174
talk-radio,33
safe-2012,39
master-and-commander-the-far-side-of-the-world,99
dead-man,89
the-neverending-story,106
the-beautiful-person,20
polite-society,147
charlie-st-cloud,36
orpheus,51
home-team-2022,24
ghost-rider,130
hachi-a-dogs-tale,94
troll-2022,50
secrets-lies,114
why-him,109
ace-in-the-hole,119
kicking-and-screaming,84
space-jam-a-new-legacy,176
something-in-the-water-2024,34
thor-love-and-thunder,437
devs,41
the-age-of-innocence,183
the-american,40
jumanji-welcome-to-the-jungle,300
murder-on-the-orient-express-2017,253
good-burger,80
the-forgiven-2022-1,24
dracula-2000,31
de-palma,51
spy-kids-3-d-game-over,132
coraline,434
satantango,49
gullivers-travels-2010,80
rivers-edge,45
christmas-eve-in-millers-point,63
the-editor,21
dude,31
liz-and-the-blue-bird,34
crocodile-dundee-ii,27
rmn,31
teenage-mutant-ninja-turtles-mutant-mayhem,364
hellraiser,261
unaccompanied-minors,34
elizabeth,44
miami-connection,42
women-talking,276
as-good-as-it-gets,104
velvet-buzzsaw,191
mother-joan-of-the-angels,24
speed-2-cruise-control,41
the-breadwinner,75
barbie-the-princess-the-popstar,38
wine-country,62
top-gun-maverick,551
the-croods-a-new-age,90
the-man-who-shot-liberty-valance,106
love-the-coopers,48
fred-the-movie,63
my-blue-heaven,21
the-disaster-artist,276
meet-me-in-st-louis,156
the-lusty-men,30
flight-of-the-navigator,32
henry-v-1944,20
the-bad-guys-a-very-bad-holiday,22
the-skeleton-key,60
okja,312
the-suite-life-movie,30
sleepers,74
i-want-to-eat-your-pancreas,37
clock-2023,57
tokyo-olympiad,21
night-of-the-demons,49
looking-for-alaska,37
the-red-shoes,231
xanadu,50
electric-boogaloo-the-wild-untold-story-of-cannon-films,21
flamin-hot,102
neon-genesis-evangelion-the-end-of-evangelion,122
nocturne-2020,67
cutthroat-island,28
the-rundown,51
ghost-dog-the-way-of-the-samurai,109
enchanted,267
detour,98
piranha,99
jeepers-creepers-2,74
the-wild-robot,593
ai-artificial-intelligence,188
the-haunted-mansion,115
whip-it,123
evolution-2015,26
limitless,144
shotgun-stories,20
